LUT                 A                   D                   Margin              
5                   -8                  -4                  8.511262208743688   
5                   -7                  -4                  8.780981636204999   
5                   -6                  -4                  8.695794409983854   
5                   -5                  -4                  8.342273276257437   
5                   -4                  -4                  7.841883466280706   
5                   -3                  -4                  8.555089209093573   
5                   -2                  -4                  7.116984412411043   
5                   -1                  -4                  7.17442084675249    
5                   0                   -4                  7.898627527806177   
5                   1                   -4                  8.47665444556619    
5                   2                   -4                  8.07897905063922    
5                   3                   -4                  7.875574102004997   
5                   4                   -4                  7.371454276721181   
5                   5                   -4                  6.909892827702883   
5                   6                   -4                  7.935797215199777   
5                   7                   -4                  6.055063381036362   
5                   8                   -4                  6.5685215619231485  
5                   9                   -4                  6.930452226104656   
5                   11                  -4                  7.387268347620619   
5                   12                  -4                  5.91607107146605    
5                   -7                  -8                  8.626253622442398   
5                   -7                  -7                  8.330441399482616   
5                   -7                  -6                  9.107823590361718   
5                   -7                  -5                  8.006284131501388   
5                   -7                  -4                  8.724671965527683   
5                   -7                  -3                  7.9522328604927495  
5                   -7                  -2                  8.10444385737172    
5                   -7                  -1                  8.064303157287178   
5                   -7                  0                   7.638619691653844   
5                   -7                  1                   8.964435661048213   
5                   -7                  2                   8.499638482002148   
5                   -7                  3                   8.852793738582918   
5                   -7                  4                   8.607332362969956   
5                   -7                  5                   8.172047833525781   
5                   -7                  6                   7.92021441216999    
5                   -7                  7                   8.215732307105085   
5                   -7                  8                   8.02608293837217    
5                   -7                  9                   8.275742833287524   
6                   -8                  1                   8.415654769669665   
6                   -7                  1                   8.024910597313891   
6                   -6                  1                   7.648573980484102   
6                   -5                  1                   7.2825305620731555  
6                   -4                  1                   6.648045758330468   
6                   -3                  1                   7.804743478176462   
6                   -2                  1                   7.359533213409193   
6                   -1                  1                   7.271066544952312   
6                   0                   1                   7.302995744052055   
6                   1                   1                   7.896721455016646   
6                   2                   1                   6.738876262952871   
6                   3                   1                   6.629877755520212   
6                   4                   1                   6.8664070880655785  
6                   5                   1                   6.162071261685568   
6                   6                   1                   6.538502931016218   
6                   7                   1                   6.562424429790582   
6                   8                   1                   7.632754085021553   
6                   9                   1                   6.736444762565469   
6                   10                  1                   8.041591045258947   
6                   11                  1                   6.939223574319769   
6                   12                  1                   7.475640980192637   
6                   13                  1                   7.9465298649502     
6                   14                  1                   9.030622741390147   
6                   15                  1                   7.002397479534906   
6                   14                  -1                  8.646677079501274   
6                   14                  0                   8.342587689482812   
6                   14                  1                   8.998618022933663   
6                   14                  2                   9.044958782512367   
6                   14                  3                   8.345521949318602   
6                   14                  4                   8.555669353938441   
6                   14                  5                   8.71024821194375    
6                   14                  6                   8.711449891849156   
6                   14                  7                   8.516274831060002   
6                   14                  8                   8.345734775112021   
6                   14                  9                   8.35709879788125    
6                   14                  10                  8.324355025965126   
6                   14                  11                  8.432314373116107   
6                   14                  12                  7.685362230838614   
6                   14                  13                  7.5035939444771245  
6                   14                  14                  8.391277468712147   
6                   14                  15                  7.513155253848595   
7                   -8                  -7                  7.9917849287413745  
7                   -7                  -7                  8.876676914064703   
7                   -6                  -7                  8.782919597942055   
7                   -5                  -7                  8.971469407393585   
7                   -4                  -7                  8.954648194613426   
7                   -3                  -7                  8.807626395167262   
7                   -2                  -7                  8.231343487822656   
7                   -1                  -7                  8.08998577204121    
7                   0                   -7                  7.769718325645741   
7                   1                   -7                  8.164278163751206   
7                   2                   -7                  8.16261760797871    
7                   3                   -7                  8.577555156807513   
7                   4                   -7                  7.422530882200348   
7                   5                   -7                  6.249058567049886   
7                   6                   -7                  8.777591628323925   
7                   7                   -7                  4.63222210016621    
7                   8                   -7                  6.715594820674809   
7                   9                   -7                  6.577209972309156   
7                   -5                  -8                  8.347095017745147   
7                   -5                  -7                  8.825092941624028   
7                   -5                  -6                  8.799287675323406   
7                   -5                  -5                  9.1695038952317     
7                   -5                  -4                  8.551340972614526   
7                   -5                  -3                  8.188806413116374   
7                   -5                  -2                  7.812280717196586   
7                   -5                  -1                  7.739089885999746   
7                   -5                  0                   7.972594517862568   
7                   -5                  1                   8.226579608441156   
7                   -5                  2                   7.645842266399086   
7                   -5                  3                   6.473489076419469   
7                   -5                  4                   7.926578206607651   
7                   -5                  5                   8.351093747641173   
7                   -5                  6                   8.181751502226547   
7                   -5                  7                   8.474510474085463   
7                   -5                  8                   8.691196013994748   
7                   -5                  9                   8.763497151432595   
7                   -5                  10                  8.711459514497228   
7                   -5                  11                  8.238295883742879   
9                   -8                  6                   8.560000683095673   
9                   -7                  6                   8.612480744171968   
9                   -5                  6                   8.555409103733403   
9                   -4                  6                   8.02362394840921    
9                   -3                  6                   8.820748933307804   
9                   -2                  6                   8.792680730422965   
9                   -1                  6                   8.40271543774962    
9                   0                   6                   8.503737626637857   
9                   1                   6                   8.405244706573406   
9                   2                   6                   7.433034433178271   
9                   3                   6                   6.744596740413584   
9                   4                   6                   8.05922430545327    
9                   6                   6                   8.361591135026963   
9                   7                   6                   8.191488011338116   
9                   8                   6                   6.56678673500538    
